…之…	非常
澡盆盆	盆子
洗三	洗浴
洗脸	洗脸
洗脸帕	毛巾
洗脸架(架)	架子
洗脸水	水
喜事	喜事
喜期	礼拜天
喜茶碗	促销
喜鹊	喜鹊
喜酒	婚宴
喜欢	高兴
喜丧	喜丧
系列	系列
细粮	细粮
戏台(子)	戏台
戏园(儿)	戏园子
戏院	戏园子
衣呜呀呜	喁喁私语
衣架(子)	衣架
衣排	衣架
衣柜	衣柜
衣领	衣领
衣襟	衣领
(衣)摆	衣领
衣裳	衣裳
(衣裳)包包	口袋
依	同意
依下数	老规矩
依教	守信用
依还	依旧
依轮子	依次
医	医学
医胞(子)	胎盘
医穿穿儿	奸雄
医生	医生
医病	治病
一	数目字
一直走	走路
一丝一像	一模一样
一猫儿一样	一模一样
一世糊子	很多
一滴滴儿	一丁点儿
一(点)点儿	一丁点儿
一起	一齐
(一)些	一些
一撲绳子	一大堆
一路	沿路
一竖	笔画
一举两得	一举两得
一拉	一大堆
(一)大半	大多数
一捺	笔画
一差二错	一差二错
一下	全部
一画	笔画
一抹多	很多
一桌(酒)席	酒席
一个	数量词
一个二个的	全部
一(个)月	时段
一个半	大多数
一个旋儿	头发
一个人	我们
一(个)星期	时段
一(个)礼拜	时段
一个铜板	货币
一伙的	同伙
一窝端	一网打尽
一锅端	一网打尽
一角(钱)	货币
一毛(钱)	货币
一百	数目字
(一)百一	数目字
(一)百一十	数目字
一百一十一	数目字
一百一十个	数量词
(一)百五十个	数量词
一百三	数目字
一百三十	数目字
一撇	笔画
一篾片儿	一点点
一月	正月
一𨃅一跛	趔趄
一来二去	一来二去
一踩九头翘	聪明
一块(钱)	货币
一元(钱)	货币
一堆	约数
一包子	一肚子
一包糟	乱糟糟
一刀两断	一刀两断
一道	一齐
一号	数目字
一挑	笔画
(一)小半	大多数
一肉(一)肉的	优柔寡断
一钩	笔画
一溜溜	一小撮
一半	一小半
一斩齐	整齐划一
一干二净	一干二净
一点	笔画
一天	一天
一天到黑	整天
一千	数目字
一千一百	数目字
一千一百个	数量词
一千九(百)	数目字
一千九百个	数量词
一年的	同庚
一晚些	整晚
一万	数目字
(一)万二	数目字
一万二千	数目字
一万二千个	数量词
一根生	一直
一横	笔画
一品排	横排
一清二白	一清二白
一心敬你	划拳
一顺风	相同
一𨈓𨈓	一连串
一张票子	钞票
一张票儿	钞票
一共	总共
乙	天干
姨妈	姨妈
姨婆	姨婆
姨爹	姨爹
姨表	姨爹
胰子	香皂
胰腺	胰腺
移交	移交
饴糖	白糖
遗精	遗精
以西	以西
以下	以下
以北	以北
以来	以来
以外	以外
以内	以外
以后	以后
以南	以南
以前	以前
以上	以上
以往	以往
以东	以东
椅子	椅子
椅子些	椅子
椅子款款	木条
意子	眼珠
翳子	晶状体
不时兴	不兴
不抵事	无效
不哜哜的	实实
不服	不服
不大多于	偶尔
不哪样	一般
不咋(个)	一般
不咋样	一般
不多于	不怎么
不和	不和
不得	不会
不得了	不得了
不在了	死亡
不睬	不怕
不睬祸事	天不怕，地不怕
不开腔	沉默
不对子午	不符
不倒椿	划拳
不倒翁	不倒翁
不照闲	不管
不好	生病
不了	不只
不了然	过意不去
不消	不用
不要	禁止
嫑	禁止
不犯于	犯不着
不感冒	嫌弃
不断缔（纤）	连续不断
不开风	模糊
不管用	没用
不识字的	文盲
不认识	陌生
不认黄	不讲情面
不平	倾斜
不警(不)觉	不知不觉
不兴	不兴
不行	不行
不讲礼	粗鲁
不客气	粗鲁
不枉自	值得
不送了	请回
补补连连	缝缝补补
补须子	补交
补疤疤	木匠
补药汤汤	补药
布谷鸟	布谷
布节节儿	布料
布鞋	鞋子
布告	文件
布扣子	纽扣
布纽子	纽扣
布店(店儿)	商店
布铺(子)	商店
布巾巾	布料
铺	铺床
铺排	吩咐
铺盖	被子
铺盖里子	被子
铺盖窝儿	被子
铺盖面子	被子
铺床	铺床
铺笼罩被	床上用品
菩萨	菩萨
葡萄	葡萄
蒲扇	蒲扇
蒲团	蒲团
扑	扑倒
扑爬	摔倒
扑爬跟斗儿	摔倒
扑灯蛾儿	飞蛾
扑倒睡	俯卧
扑起睡	俯卧
潽	沸腾
潽天洒地	泼洒
铺板	木板
铺面	门面
(木)芙蓉	芙蓉
木头人	捉迷藏
木偶(偶儿)	木偶
木肘肘儿	木偶
木偶(偶儿)戏	皮影戏
木匠	木匠
木工	木匠
木炭	木炭
母鸡	鸡雏
母驉子	猫
母猪	猫
母猪风	癫痫
母马	猫
母鸭子	鸡雏
母猫儿	猫
母豆儿	庸才
母狗(儿)	母狗
母牛	鸡雏
母老虎	母老虎
母亲	妈妈
牡丹(花)	牡丹
姆姆	老年人
夫妻	夫妻
夫妻肺片	小吃
伕子	脚夫
桴渣(儿)	木炭
桴炭(儿)	木炭
敷折耗	补偿
敷汤药	赔偿
伏包秋	立秋
伏(天)	伏天
佛	佛
佛堂	佛堂
扶倒	支撑
服	服从
狐狸	狐狸
狐臭	狐臭
狐气	狐臭
胡了	获胜
胡椒	胡椒
胡椒粉(粉儿)	胡椒粉
胡椒面(儿)	胡椒粉
胡豆筛子	筛子
胡豆(儿)	蚕豆
浮漂	浮漂
浮藻	浮萍
浮上水	巴结
核核儿	核
袱子	纸钱
幅	档子
幅面	幅面
复习	复习
复合肥	肥料
壶	水壶
湖	湖
煳	焦糊
福喜	供品
蝴蝶儿	蝴蝶
糊涂	糊涂
胡子	胡子
斧头	斧头
父亲	爸爸
附近	附近
附心油	脂肪
服	档子
戽	浇
户	糊涂
副	档子
瓠子(瓜)	瓜
𡱰𡱰	底部
焯	红烧
独一根	划拳
独独	唯独
独(独)蒜	蒜
独足会	黑社会
独眼龙	独眼龙
